N	Speaker ID	Task	Evaluation	Target	Response	Hit	Correct	Target Utterance	Responsed Utterance	Number of Syllables	TargetC	TargetV	RespC	RespV	TargetCManner	TargetCVoice	TargetCPlace	RespCanner	RespVoice	RespPlace	CorrC	CorrV	CorrManner	CorrVoice	CorrPlace	
168	CL001	QL2	H54	te	ti	S	0	sa te li te	sa ze li ti	4	t	e	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	0	1	1	1	
169	CL001	QL2	H54	di	di	C	1	di ra ni	di ra ni	3	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
170	CL001	QL2	H54	ra	ra	C	1	di ra ni	di ra ni	3	r	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
171	CL001	QL2	H54	ni	ni	C	1	di ra ni	di ra ni	3	n	i	n	i	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
172	CL001	QL2	H54	ti	ti	C	1	ti fe du ne	ti ze du me	4	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
173	CL001	QL2	H54	fe	ze	S	0	ti fe du ne	ti ze du me	4	f	e	z	e	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
174	CL001	QL2	H54	du	du	C	1	ti fe du ne	ti ze du me	4	d	u	d	u	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
175	CL001	QL2	H54	ne	me	S	0	ti fe du ne	ti ze du me	4	n	e	m	e	nas	Voiced	Coronal	nas	Voiced	Frontal	0	1	1	1	0	
176	CL001	QL2	H54	ti	ti	C	1	ti yo	ti yo	2	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
177	CL001	QL2	H54	yo	yo	C	1	ti yo	ti yo	2	y	o	y	o	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
178	CL001	QL2	H54	no	lo	S	0	no fe	lo fe	2	n	o	l	o	nas	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
179	CL001	QL2	H54	fe	fe	C	1	no fe	lo fe	2	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
180	CL001	QL2	H54	pe	pe	C	1	pe ta ti	pe ta ti	3	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
181	CL001	QL2	H54	ta	ta	C	1	pe ta ti	pe ta ti	3	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
182	CL001	QL2	H54	ti	ti	C	1	pe ta ti	pe ta ti	3	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
183	CL001	QL2	H54	la	na	S	0	la do	na do	2	l	a	n	a	Aprox	Voiced	Coronal	nas	Voiced	Coronal	0	1	0	1	1	
184	CL001	QL2	H54	do	do	C	1	la do	na do	2	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
185	CL001	QL2	H54	mu	mu	C	1	mu no	mu do	2	m	u	m	u	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
186	CL001	QL2	H54	no	do	S	0	mu no	mu do	2	n	o	d	o	nas	Voiced	Coronal	Ocl	Voiced	Coronal	0	1	0	1	1	
187	CL001	QL2	H54	za	za	C	1	za lu	za lu	2	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
188	CL001	QL2	H54	lu	lu	C	1	za lu	za lu	2	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
189	CL001	QL2	H54	ka	ka	C	1	ka rro ma to	ka rro ma to	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
190	CL001	QL2	H54	rro	rro	C	1	ka rro ma to	ka rro ma to	4	rr	o	rr	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
191	CL001	QL2	H54	ma	ma	C	1	ka rro ma to	ka rro ma to	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
192	CL001	QL2	H54	to	to	C	1	ka rro ma to	ka rro ma to	4	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
193	CL001	QL2	H54	mu	mu	C	1	mu si ma	mu si ma	3	m	u	m	u	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
194	CL001	QL2	H54	si	si	C	1	mu si ma	mu si ma	3	s	i	s	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
195	CL001	QL2	H54	ma	ma	C	1	mu si ma	mu si ma	3	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
196	CL001	QL2	H54	rri	gri	S	0	rri bu po	gri bu po	3	rr	i	gr	i	Aprox	Voiced	Coronal	Other	Other	Other	0	1	0	0	0	
197	CL001	QL2	H54	bu	bu	C	1	rri bu po	gri bu po	3	b	u	b	u	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
198	CL001	QL2	H54	po	po	C	1	rri bu po	gri bu po	3	p	o	p	o	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
199	CL001	QL2	H54	de	de	C	1	de ba ti	de ba ti	3	d	e	d	e	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
200	CL001	QL2	H54	ba	ba	C	1	de ba ti	de ba ti	3	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
201	CL001	QL2	H54	ti	ti	C	1	de ba ti	de ba ti	3	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
202	CL001	QL2	H54	di	di	C	1	di ne ro	di de ro	3	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
203	CL001	QL2	H54	ne	de	S	0	di ne ro	di de ro	3	n	e	d	e	nas	Voiced	Coronal	Ocl	Voiced	Coronal	0	1	0	1	1	
204	CL001	QL2	H54	ro	ro	C	1	di ne ro	di de ro	3	r	o	r	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
205	CL001	QL2	H54	ni	ni	C	1	ni fu ba mi	ni fu ga mi	4	n	i	n	i	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
206	CL001	QL2	H54	fu	fu	C	1	ni fu ba mi	ni fu ga mi	4	f	u	f	u	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
207	CL001	QL2	H54	ba	ga	S	0	ni fu ba mi	ni fu ga mi	4	b	a	g	a	Ocl	Voiced	Frontal	Ocl	Voiced	back	0	1	1	1	0	
208	CL001	QL2	H54	mi	mi	C	1	ni fu ba mi	ni fu ga mi	4	m	i	m	i	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
209	CL001	QL2	H54	mo	mo	C	1	mo te	mo te	2	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
210	CL001	QL2	H54	te	te	C	1	mo te	mo te	2	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
211	CL001	QL2	H54	ko	ko	C	1	ko da	ko da	2	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
212	CL001	QL2	H54	da	da	C	1	ko da	ko da	2	d	a	d	a	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
213	CL001	QL2	H54	ko	ko	C	1	ko zi	ko zi	2	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
214	CL001	QL2	H54	zi	zi	C	1	ko zi	ko zi	2	z	i	z	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
215	CL001	QL2	H54	di	di	C	1	di ku li te	di ku li te	4	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
216	CL001	QL2	H54	ku	ku	C	1	di ku li te	di ku li te	4	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
217	CL001	QL2	H54	li	li	C	1	di ku li te	di ku li te	4	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
218	CL001	QL2	H54	te	te	C	1	di ku li te	di ku li te	4	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
219	CL001	QL2	H54	ko	ko	C	1	ko pa te	ko pa te	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
220	CL001	QL2	H54	pa	pa	C	1	ko pa te	ko pa te	3	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
221	CL001	QL2	H54	te	te	C	1	ko pa te	ko pa te	3	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
222	CL001	QL2	H54	do	do	C	1	do bu	do bo	2	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
223	CL001	QL2	H54	bu	bo	S	0	do bu	do bo	2	b	u	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	0	1	1	1	
224	CL001	QL2	H54	no	no	C	1	no che	no che	2	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
225	CL001	QL2	H54	che	che	C	1	no che	no che	2	ch	e	ch	e	Afic	Vless	Coronal	Afic	Vless	Coronal	1	1	1	1	1	
226	CL001	QL2	H54	me	me	C	1	me po	me po	2	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
227	CL001	QL2	H54	po	po	C	1	me po	me po	2	p	o	p	o	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
228	CL001	QL2	H54	fi	fi	C	1	fi lo zo fo	fi lo zo fo	4	f	i	f	i	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
229	CL001	QL2	H54	lo	lo	C	1	fi lo zo fo	fi lo zo fo	4	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
230	CL001	QL2	H54	zo	zo	C	1	fi lo zo fo	fi lo zo fo	4	z	o	z	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
231	CL001	QL2	H54	fo	fo	C	1	fi lo zo fo	fi lo zo fo	4	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
232	CL001	QL2	H54	pa	pa	C	1	pa do	pa do	2	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
233	CL001	QL2	H54	do	do	C	1	pa do	pa do	2	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
234	CL001	QL2	H54	ka	ka	C	1	ka yo	ka yo	2	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
235	CL001	QL2	H54	yo	yo	C	1	ka yo	ka yo	2	y	o	y	o	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
236	CL001	QL2	H54	ka	ka	C	1	ka pi tu lo	ka pi tu lo	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
237	CL001	QL2	H54	pi	pi	C	1	ka pi tu lo	ka pi tu lo	4	p	i	p	i	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
238	CL001	QL2	H54	tu	tu	C	1	ka pi tu lo	ka pi tu lo	4	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
239	CL001	QL2	H54	lo	lo	C	1	ka pi tu lo	ka pi tu lo	4	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
240	CL001	QL2	H54	lu	lu	C	1	lu xa	lu xa	2	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
241	CL001	QL2	H54	xa	xa	C	1	lu xa	lu xa	2	x	a	x	a	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
242	CL001	QL2	H54	ba	ba	C	1	ba ye	ba ye	2	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
243	CL001	QL2	H54	ye	ye	C	1	ba ye	ba ye	2	y	e	y	e	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
244	CL001	QL2	H54	ka	ka	C	1	ka ba ye mo	ka ba ye mo	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
245	CL001	QL2	H54	ba	ba	C	1	ka ba ye mo	ka ba ye mo	4	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
246	CL001	QL2	H54	ye	ye	C	1	ka ba ye mo	ka ba ye mo	4	y	e	y	e	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
247	CL001	QL2	H54	mo	mo	C	1	ka ba ye mo	ka ba ye mo	4	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
248	CL001	QL2	H54	ma	ma	C	1	ma nya na	ma nya da	3	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
249	CL001	QL2	H54	nya	nya	C	1	ma nya na	ma nya da	3	ny	a	ny	a	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
250	CL001	QL2	H54	na	da	S	0	ma nya na	ma nya da	3	n	a	d	a	nas	Voiced	Coronal	Ocl	Voiced	Coronal	0	1	0	1	1	
251	CL001	QL2	H54	zi	zi	C	1	zi da	zi da	2	z	i	z	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
252	CL001	QL2	H54	da	da	C	1	zi da	zi da	2	d	a	d	a	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
253	CL001	QL2	H54	ka	ka	C	1	ka rro nya	ka rro nya	3	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
254	CL001	QL2	H54	rro	rro	C	1	ka rro nya	ka rro nya	3	rr	o	rr	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
255	CL001	QL2	H54	nya	nya	C	1	ka rro nya	ka rro nya	3	ny	a	ny	a	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
256	CL001	QL2	H54	bi	bi	C	1	bi ga	bi ga	2	b	i	b	i	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
257	CL001	QL2	H54	ga	ga	C	1	bi ga	bi ga	2	g	a	g	a	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
258	CL001	QL2	H54	mo	mo	C	1	mo pe di ta	mo pe di ka	4	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
259	CL001	QL2	H54	pe	pe	C	1	mo pe di ta	mo pe di ka	4	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
260	CL001	QL2	H54	di	di	C	1	mo pe di ta	mo pe di ka	4	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
261	CL001	QL2	H54	ta	ka	S	0	mo pe di ta	mo pe di ka	4	t	a	k	a	Ocl	Vless	Coronal	Ocl	Vless	back	0	1	1	1	0	
262	CL001	QL3	H54	so	so	C	1	so ri	so ri	2	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
263	CL001	QL3	H54	ri	ri	C	1	so ri	so ri	2	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
264	CL001	QL3	H54	ye	ye	C	1	ye da	ye ra	2	y	e	y	e	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
265	CL001	QL3	H54	da	ra	S	0	ye da	ye ra	2	d	a	r	a	Ocl	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
266	CL001	QL3	H54	ku	ku	C	1	ku fe	ku zri	2	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
267	CL001	QL3	H54	fe	zri	S	0	ku fe	ku zri	2	f	e	zr	i	fric	Vless	Frontal	Other	Other	Other	0	0	0	0	0	
268	CL001	QL3	H54	so	so	C	1	so ma	so ma	2	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
269	CL001	QL3	H54	ma	ma	C	1	so ma	so ma	2	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
270	CL001	QL3	H54	ka	ka	C	1	ka ba ye ro	ka ba ye ro	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
271	CL001	QL3	H54	ba	ba	C	1	ka ba ye ro	ka ba ye ro	4	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
272	CL001	QL3	H54	ye	ye	C	1	ka ba ye ro	ka ba ye ro	4	y	e	y	e	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
273	CL001	QL3	H54	ro	ro	C	1	ka ba ye ro	ka ba ye ro	4	r	o	r	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
274	CL001	QL3	H54	be	be	C	1	be na	be ra	2	b	e	b	e	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
275	CL001	QL3	H54	na	ra	S	0	be na	be ra	2	n	a	r	a	nas	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
276	CL001	QL3	H54	mu	mu	C	1	mu si ka	mu si ka	3	m	u	m	u	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
277	CL001	QL3	H54	si	si	C	1	mu si ka	mu si ka	3	s	i	s	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
278	CL001	QL3	H54	ka	ka	C	1	mu si ka	mu si ka	3	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
279	CL001	QL3	H54	di	di	C	1	di ku	di ku	2	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
280	CL001	QL3	H54	ku	ku	C	1	di ku	di ku	2	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
281	CL001	QL3	H54	ka	ka	C	1	ka mi ro	ka mi to	3	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
282	CL001	QL3	H54	mi	mi	C	1	ka mi ro	ka mi to	3	m	i	m	i	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
283	CL001	QL3	H54	ro	to	S	0	ka mi ro	ka mi to	3	r	o	t	o	Aprox	Voiced	Coronal	Ocl	Vless	Coronal	0	1	0	0	1	
284	CL001	QL3	H54	me	me	C	1	me ze do ra	me se du la	4	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
285	CL001	QL3	H54	ze	se	S	0	me ze do ra	me se du la	4	z	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	0	1	1	1	1	
286	CL001	QL3	H54	do	du	S	0	me ze do ra	me se du la	4	d	o	d	u	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	0	1	1	1	
287	CL001	QL3	H54	ra	la	S	0	me ze do ra	me se du la	4	r	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	1	1	1	
288	CL001	QL3	H54	ze	se	S	0	ze bi	se bi	2	z	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	0	1	1	1	1	
289	CL001	QL3	H54	bi	bi	C	1	ze bi	se bi	2	b	i	b	i	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
290	CL001	QL3	H54	ka	ka	C	1	ka xo	ka xo	2	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
291	CL001	QL3	H54	xo	xo	C	1	ka xo	ka xo	2	x	o	x	o	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
292	CL001	QL3	H54	pa	ta	S	0	pa li xo	ta li xo	3	p	a	t	a	Ocl	Vless	Frontal	Ocl	Vless	Coronal	0	1	1	1	0	
293	CL001	QL3	H54	li	li	C	1	pa li xo	ta li xo	3	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
294	CL001	QL3	H54	xo	xo	C	1	pa li xo	ta li xo	3	x	o	x	o	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
295	CL001	QL3	H54	bi	di	S	0	bi la	di ra	2	b	i	d	i	Ocl	Voiced	Frontal	Ocl	Voiced	Coronal	0	1	1	1	0	
296	CL001	QL3	H54	la	ra	S	0	bi la	di ra	2	l	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	1	1	1	
297	CL001	QL3	H54	me	me	C	1	me di zi ra	me ri zi ra	4	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
298	CL001	QL3	H54	di	ri	S	0	me di zi ra	me ri zi ra	4	d	i	r	i	Ocl	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
299	CL001	QL3	H54	zi	zi	C	1	me di zi ra	me ri zi ra	4	z	i	z	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
300	CL001	QL3	H54	ra	ra	C	1	me di zi ra	me ri zi ra	4	r	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
301	CL001	QL3	H54	la	la	C	1	la ti ga fo	la ti ga fo	4	l	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
302	CL001	QL3	H54	ti	ti	C	1	la ti ga fo	la ti ga fo	4	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
303	CL001	QL3	H54	ga	ga	C	1	la ti ga fo	la ti ga fo	4	g	a	g	a	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
304	CL001	QL3	H54	fo	fo	C	1	la ti ga fo	la ti ga fo	4	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
305	CL001	QL3	H54	no	no	C	1	no fe ba	no fe ba	3	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
306	CL001	QL3	H54	fe	fe	C	1	no fe ba	no fe ba	3	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
307	CL001	QL3	H54	ba	ba	C	1	no fe ba	no fe ba	3	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
308	CL001	QL3	H54	lu	lu	C	1	lu fo	lu fo	2	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
309	CL001	QL3	H54	fo	fo	C	1	lu fo	lu fo	2	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
310	CL001	QL3	H54	ka	ka	C	1	ka po di no	ka po di ro	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
311	CL001	QL3	H54	po	po	C	1	ka po di no	ka po di ro	4	p	o	p	o	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
312	CL001	QL3	H54	di	di	C	1	ka po di no	ka po di ro	4	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
313	CL001	QL3	H54	no	ro	S	0	ka po di no	ka po di ro	4	n	o	r	o	nas	Voiced	Coronal	Aprox	Voiced	Coronal	0	1	0	1	1	
314	CL001	QL3	H54	fi	zi	S	0	fi lo so fo	zi lo so fo	4	f	i	z	i	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
315	CL001	QL3	H54	lo	lo	C	1	fi lo so fo	zi lo so fo	4	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
316	CL001	QL3	H54	so	so	C	1	fi lo so fo	zi lo so fo	4	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
317	CL001	QL3	H54	fo	fo	C	1	fi lo so fo	zi lo so fo	4	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
318	CL001	QL3	H54	ni	ni	C	1	ni bo fe ma	ni bo fe ba	4	n	i	n	i	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
319	CL001	QL3	H54	bo	bo	C	1	ni bo fe ma	ni bo fe ba	4	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
320	CL001	QL3	H54	fe	fe	C	1	ni bo fe ma	ni bo fe ba	4	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
321	CL001	QL3	H54	ma	ba	S	0	ni bo fe ma	ni bo fe ba	4	m	a	b	a	nas	Voiced	Frontal	Ocl	Voiced	Frontal	0	1	0	1	1	
322	CL001	QL3	H54	mi	mi	C	1	mi ri ya	mi ri ya	3	m	i	m	i	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
323	CL001	QL3	H54	ri	ri	C	1	mi ri ya	mi ri ya	3	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
324	CL001	QL3	H54	ya	ya	C	1	mi ri ya	mi ri ya	3	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
325	CL001	QL3	H54	zi	zi	C	1	zi bu fe ni	zi bu fe mi	4	z	i	z	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
326	CL001	QL3	H54	bu	bu	C	1	zi bu fe ni	zi bu fe mi	4	b	u	b	u	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
327	CL001	QL3	H54	fe	fe	C	1	zi bu fe ni	zi bu fe mi	4	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
328	CL001	QL3	H54	ni	mi	S	0	zi bu fe ni	zi bu fe mi	4	n	i	m	i	nas	Voiced	Coronal	nas	Voiced	Frontal	0	1	1	1	0	
329	CL001	QL3	H54	so	so	C	1	so ga	so ga	2	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
330	CL001	QL3	H54	ga	ga	C	1	so ga	so ga	2	g	a	g	a	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
331	CL001	QL3	H54	mo	mo	C	1	mo pa so ka	mo pa so ka	4	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
332	CL001	QL3	H54	pa	pa	C	1	mo pa so ka	mo pa so ka	4	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
333	CL001	QL3	H54	so	so	C	1	mo pa so ka	mo pa so ka	4	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
334	CL001	QL3	H54	ka	ka	C	1	mo pa so ka	mo pa so ka	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
